group,Duration (in seconds),prolific_ID,1_Date_of_birth,Age,Gender,Education,Education_numeric,Income,Political,Platforms,Platforms_text,Using_PSPs,Using_Spotify,Personalization,Satisfaction,Personalization_satisfaction,understand_you,understand_other,benefit_1,benefit_4,benefit_5,fee,preferences_1,preferences_4,preferences_5,equal_fee,Fee_personalization,Fee_without_personalization,Personalization_fee_difference
control,217,61089c9ebdb09f33229fe5e0,2002,19,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Netflix",,2,0,Sometimes,Most of the time,4,Yes,Yes,4,4,5,10,3,5,5,They should be charged the same amount,10,10,0
control,147,5e52be2a3771352c9f14de1f,1980,41,Male,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Netflix,YouTube Premium / YouTube Music",,2,0,Sometimes,Sometimes,3,Yes,Yes,4,4,4,8,4,2,4,They should be charged the same amount,8,8,0
control,135,610088843cab5a21aea7e669,1999,22,Female,Graduate school,4,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,3,4,3,4,4,5,User A,3,0,3
control,176,56a68bb49ce1c0000df89344,1988,33,Male,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Netflix,YouTube Premium / YouTube Music",,2,0,Sometimes,Most of the time,4,Yes,No,3,2,4,5,4,4,3,They should be charged the same amount,5,5,0
control,225,61202b6be797314915cb1bd7,2002,19,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix",,2,0,Always,Most of the time,4,Yes,No,5,1,4,8,5,1,4,User B,5,8,-3
control,270,6108e3c3b4598a09cb028e86,1997,24,Non-binary / third gender,College / university,3,$2000 to $4999,Democrat,Spotify,,1,1,Rarely,Sometimes,3,Yes,No,3,2,4,9,5,2,2,They should be charged the same amount,9,9,0
control,123,60c8b6ade876f20564315325,1987,34,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Most of the time,Sometimes,3,Yes,No,4,2,4,12,4,2,5,They should be charged the same amount,12,12,0
control,207,6172316cd8b547db367c4e8e,1991,30,Female,Graduate school,4,$10000 to $19999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Peacock,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,3,5,9,5,3,5,They should be charged the same amount,9,9,0
control,190,5c5fc78e96dff400013607a5,1983,38,Male,College / university,3,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Netflix",,2,0,Most of the time,Most of the time,4,Yes,No,4,3,4,5,3,4,4,They should be charged the same amount,5,5,0
control,167,60d21fac25f5942c92570701,1984,37,Non-binary / third gender,College / university,3,Less than $1999,Something else,"Amazon Prime / Amazon Music,Disney Plus,Netflix",,2,0,Sometimes,Rarely,2,Yes,No,2,2,5,10,5,3,4,They should be charged the same amount,10,10,0
control,167,5b8473a8449ef2000114a4f6,1978,43,Male,College / university,3,$2000 to $4999,Republican,Peacock,,1,0,Rarely,Rarely,2,Yes,Yes,1,1,5,10,5,1,1,They should be charged the same amount,2,2,0
control,151,61294dd5f48d411beeb0f239,1992,29,Female,Graduate school,4,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,4,3,5,10,3,4,5,They should be charged the same amount,10,10,0
control,174,5a9da47e89de8200013f2277,1985,36,Female,Graduate school,4,$2000 to $4999,Democrat,"Hulu,Netflix,Peacock,Spotify",,2,1,Sometimes,Always,5,Yes,Yes,4,2,4,5,4,5,3,They should be charged the same amount,5,5,0
control,115,603c6a09689f94a0dd6b2e78,1997,24,Male,High school,2,$2000 to $4999,Democrat,Apple Music,,1,0,Rarely,Rarely,2,Yes,Yes,3,2,3,9,3,3,2,User A,12,9,3
control,156,60fe14ba4b6e474f24920e2b,1998,23,Male,College / university,3,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,2,4,5,4,3,5,They should be charged the same amount,5,5,0
control,207,610c27e0465fb8933cf32d3b,1994,27,Female,Graduate school,4,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Netflix,Paramount Plus",,2,0,Never,,0,Yes,No,3,2,3,8,4,2,2,User A,10,8,2
control,169,6100b94f1750b9db274684c7,2001,20,Female,High school,2,Less than $1999,Republican,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Always,Always,5,Yes,No,5,2,5,10,3,5,5,User A,10,6,4
control,149,611698d186649f9cb2cb88e2,1997,24,Female,High school,2,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Hulu,Netflix,Paramount Plus",,2,0,Never,,0,Yes,No,4,2,4,10,5,2,4,User A,15,10,5
control,184,6111747950372153c89c21ea,1997,24,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,YouTube Premium / YouTube Music",,2,0,Rarely,Rarely,2,Yes,No,3,3,5,10,5,1,4,User A,10,5,5
control,133,60566620bb888e88b6c157ee,1994,27,Male,College / university,3,$5000 to $9999,Republican,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,3,1,4,5,4,3,3,User A,5,4,1
control,364,6110c5127d32d8c3e3c519d7,1999,22,Male,High school,2,$2000 to $4999,Democrat,Spotify,,1,1,Sometimes,Sometimes,3,Yes,No,2,1,4,10,5,2,3,User A,11,8,3
control,222,61002ca71733afe00bb724cb,1993,28,Female,College / university,3,$2000 to $4999,Democrat,"Hulu,Netflix,Paramount Plus,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,3,1,4,15,5,2,4,They should be charged the same amount,10,10,0
control,196,6095b63ca6075842ac8ef840,1987,34,Female,High school,2,Less than $1999,Republican,"Amazon Prime / Amazon Music,Hulu,Netflix,Paramount Plus,YouTube Premium / YouTube Music",,2,0,Rarely,Sometimes,3,Yes,No,4,2,4,10,5,1,1,User A,10,7,3
control,231,60a60751296176e147e864cd,1997,24,Female,College / university,3,Less than $1999,Democrat,"Apple Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Rarely,Rarely,2,Yes,No,3,1,3,9,4,2,4,They should be charged the same amount,9,9,0
control,141,5eddb03ee85578000c0ac2e0,1995,26,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,2,4,10,5,5,3,User A,10,5,5
control,225,5fbd28543e58c106136711cf,1995,26,Male,High school,2,$10000 to $19999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Rarely,Sometimes,3,Yes,Yes,3,4,5,5,5,2,3,User A,5,4,1
control,360,616df1617b751fb3132db7bd,1990,31,Female,College / university,3,Less than $1999,Democrat,"Netflix,YouTube Premium / YouTube Music,Other",WOW Presents Plus,2,0,Rarely,Sometimes,3,Yes,No,4,1,4,5,5,2,3,They should be charged the same amount,5,5,0
control,361,60fd6970513806739b375017,2001,20,Female,College / university,3,Less than $1999,Prefer not to say,,,0,0,,,0,Yes,Yes,2,3,3,10,4,2,3,User A,5,2,3
control,194,614e0bb5c032d8ebb38cbeea,1993,28,Female,Graduate school,4,$2000 to $4999,Democrat,Spotify,,1,1,Sometimes,Most of the time,4,Yes,Yes,2,2,4,10,5,2,5,They should be charged the same amount,10,10,0
control,213,611c15161c576e864531444e,1995,26,Male,High school,2,$20000 or more,Independent,"Amazon Prime / Amazon Music,Disney Plus,Spotify,YouTube Premium / YouTube Music",,2,1,Rarely,Rarely,2,Yes,No,4,1,4,10,4,2,2,They should be charged the same amount,10,10,0
control,155,609f13e0238456b7370bc327,2002,19,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,2,5,4,5,1,4,They should be charged the same amount,4,4,0
control,150,5e51a47589d7ad1d0611e450,1998,23,Non-binary / third gender,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,2,4,5,5,1,4,User A,7,5,2
control,188,5e6033dbfb4665381e27f2fc,1984,37,Female,College / university,3,$2000 to $4999,Democrat,"Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,2,1,4,9,5,2,2,They should be charged the same amount,5,5,0
control,166,60c0e231031a4d06678919c6,1989,32,Male,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix,Peacock,Spotify",,2,1,Rarely,Sometimes,3,Yes,No,4,2,4,9,4,3,2,They should be charged the same amount,10,10,0
control,149,6149523ce16154422ae12795,2003,18,Female,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Sometimes,Sometimes,3,Yes,No,2,1,3,3,4,4,4,User B,1,3,-2
control,258,5fb31df46562cda27fcd43c6,1995,26,Female,High school,2,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,HBO Max,Hulu,YouTube Premium / YouTube Music,Other",Discovery Plus,2,0,Most of the time,Most of the time,4,Yes,No,5,1,4,13,3,5,5,They should be charged the same amount,13,13,0
control,156,5fb2c8cedea90c95b01736da,1993,28,Female,College / university,3,$2000 to $4999,Democrat,Netflix,,1,0,Sometimes,Sometimes,3,Yes,No,4,2,5,12,4,2,2,They should be charged the same amount,12,12,0
control,198,60fdcc2bd36d10b134c14cb8,1997,24,Female,College / university,3,$20000 or more,Independent,"Amazon Prime / Amazon Music,Apple Music,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,3,4,10,4,2,4,User A,15,10,5
control,204,5dd31871c5faa232d3c20365,1983,38,Male,College / university,3,$5000 to $9999,Independent,Amazon Prime / Amazon Music,,1,0,Sometimes,Sometimes,3,Yes,No,4,3,4,5,5,2,3,They should be charged the same amount,5,5,0
control,107,60304fde9070c1ec23a04af7,1995,26,Non-binary / third gender,High school,2,Less than $1999,Independent,,,0,0,,,0,Yes,No,2,2,4,15,5,1,1,They should be charged the same amount,15,15,0
control,291,5dd773812b033b7177af88f1,1979,42,Female,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,No,4,3,5,10,4,3,3,User A,10,0,10
control,162,60fd80b85dd6b22f66d16822,1990,31,Female,College / university,3,$2000 to $4999,Something else,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,4,4,4,7,4,1,4,User A,10,8,2
control,140,5adeb4e9f6b58c0001fa70aa,1998,23,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Most of the time,Sometimes,3,Yes,Yes,5,5,5,5,5,2,5,They should be charged the same amount,5,5,0
control,331,5e1d186d415cc20a9927543b,1988,33,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,No,3,2,4,10,5,2,2,User A,12,10,2
control,136,611544cbd114d32abd55e7ad,1993,28,Male,College / university,3,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Peacock",,2,0,Sometimes,Rarely,2,Yes,No,2,4,5,14,5,1,3,User A,10,9,1
control,199,609c5565b5087bddf91589a9,1997,24,Non-binary / third gender,Graduate school,4,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,5,4,5,7,5,5,5,They should be charged the same amount,7,7,0
control,290,61085a8a83e827bdd22b6abf,1997,24,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock,Spotify,Other",ESPN,2,1,Rarely,Sometimes,3,Yes,No,3,2,4,12,5,2,4,User A,12,10,2
control,185,61057ce8baa9a56a9c2fb648,1997,24,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,Yes,3,4,5,5,5,1,5,They should be charged the same amount,5,5,0
control,157,6100164834de2c2ab7afceef,1994,27,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Peacock",,2,0,Sometimes,Sometimes,3,Yes,No,3,2,4,10,4,3,3,User A,10,8,2
control,178,61114ab144bfe39a305e049f,1995,26,Female,College / university,3,$2000 to $4999,Democrat,"Disney Plus,Hulu,Netflix,Spotify",,2,1,Always,Most of the time,4,Yes,No,5,1,2,5,1,1,5,They should be charged the same amount,5,5,0
control,365,60ff001994019d4f4cb688d5,2003,18,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,4,4,4,8,4,2,4,They should be charged the same amount,8,8,0
control,433,60d8db71e3c6d6bad40d01d3,1995,26,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus",,2,0,Sometimes,Sometimes,3,Yes,No,3,2,4,10,4,2,4,User A,10,5,5
control,181,5c1d3f2299de680001e28182,1990,31,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Spotify",,2,1,Rarely,Sometimes,3,Yes,No,4,1,4,10,3,4,4,They should be charged the same amount,10,10,0
control,105,610769ff0af5007d2a160ba4,1996,25,Female,College / university,3,Prefer not to say,Democrat,"Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,3,2,5,9,3,4,4,They should be charged the same amount,9,9,0
control,193,607371afec9eae723cd4b3a1,1981,40,Female,College / university,3,$5000 to $9999,Democrat,"Disney Plus,Hulu,Netflix,Paramount Plus",,2,0,Sometimes,Sometimes,3,Yes,No,4,3,4,5,4,2,3,They should be charged the same amount,5,5,0
control,215,6091d1f98cfcfa3b3fec1135,1996,25,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,3,5,8,5,1,4,They should be charged the same amount,8,8,0
control,195,6101d686dc9bf9c963e5856d,1986,35,Female,Graduate school,4,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,2,5,10,4,4,4,User A,10,5,5
control,432,610afdbbf0570bc4ad98f216,1995,26,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Peacock,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,1,3,9,3,4,4,They should be charged the same amount,9,9,0
control,273,60e3e22444cf3ebee262e279,1993,28,Male,High school,2,Less than $1999,Republican,"Disney Plus,Hulu,Netflix",,2,0,Sometimes,Most of the time,4,Yes,No,4,3,5,10,4,5,4,User A,10,0,10
control,148,5d3cc9010e510a00013df6f6,1999,22,Male,High school,2,Less than $1999,Democrat,"Hulu,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,2,4,5,4,2,4,They should be charged the same amount,5,5,0
control,111,60fed34dbf45cd5946139a8e,1986,35,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Paramount Plus,Spotify",,2,1,Never,,0,Yes,Yes,2,2,3,10,5,3,3,User A,10,9,1
control,126,610abaf9ef2c302a14f41b4e,1978,43,Female,High school,2,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Netflix,Peacock,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,2,4,5,6,5,2,3,They should be charged the same amount,6,6,0
control,191,6108c4f7300885ce920eb3c5,1999,22,Female,College / university,3,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Rarely,Rarely,2,Yes,No,3,2,5,8,5,2,1,User A,8,6,2
control,262,60ff59d7750ec2538401a25c,2002,19,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,No,4,3,4,6,5,3,2,They should be charged the same amount,5,5,0
control,290,60fecbc19cec3be981dc9152,1997,24,Female,High school,2,Less than $1999,Republican,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Peacock,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,5,1,2,10,4,4,5,User A,10,7,3
control,140,60c1bb3a19116b4408b8c5de,1998,23,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,3,5,8,5,2,4,They should be charged the same amount,8,8,0
control,205,615237946418da243413ef37,1999,22,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Hulu,Spotify",,2,1,Most of the time,Sometimes,3,Yes,Yes,4,4,5,7,3,2,5,User B,5,6,-1
control,174,60ffd7c13a161e6394fc5964,2002,19,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Netflix",,2,0,Always,Sometimes,3,Yes,No,4,2,3,10,4,3,5,They should be charged the same amount,10,10,0
control,188,60528358827e88148642cfeb,1996,25,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Sometimes,Sometimes,3,Yes,No,3,3,4,10,4,3,4,They should be charged the same amount,10,10,0
control,143,5e680c9f65bd0b0be56430a4,1988,33,Female,High school,2,$5000 to $9999,Something else,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,4,4,3,5,5,1,3,User A,7,5,2
control,348,5d9a1d25ada432001272773e,1985,36,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Paramount Plus,YouTube Premium / YouTube Music",,2,0,Most of the time,Sometimes,3,Yes,No,3,3,3,12,5,1,4,User A,12,8,4
control,193,614e068b1999ed68eddb4f75,1981,40,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,2,4,7,4,3,4,They should be charged the same amount,7,7,0
control,268,60fdd77d921a809dbc7ae0ca,2002,19,Prefer not to say,High school,2,Prefer not to say,Independent,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,1,3,8,4,3,4,They should be charged the same amount,8,8,0
control,185,61042ac491305753cd36f6fa,1998,23,Female,College / university,3,$2000 to $4999,Democrat,"Hulu,Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,1,2,10,4,1,3,User A,12,10,2
control,422,5daf1d3f8d1f230014c71e21,1976,45,Male,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Rarely,Rarely,2,Yes,No,3,2,5,8,5,2,3,They should be charged the same amount,8,8,0
control,185,612154b0f3a4f3c5ff662863,1988,33,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,HBO Max,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,4,4,5,10,4,2,4,User A,10,8,2
control,146,6112fa795bb624931f083ad4,2001,20,Female,High school,2,$20000 or more,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Rarely,Sometimes,3,Yes,Yes,4,4,4,7,5,3,4,They should be charged the same amount,7,7,0
control,171,5a5391ac8e62590001758a67,1991,30,Female,College / university,3,$2000 to $4999,Republican,"Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Rarely,Most of the time,4,Yes,Yes,3,3,4,11,4,3,2,They should be charged the same amount,11,11,0
control,416,60fe2077b7746be7cc99c1a4,1988,33,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,5,3,4,12,3,4,5,They should be charged the same amount,10,10,0
control,135,5f2e341083467e199cfb3d7c,1994,27,Male,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Rarely,Rarely,2,Yes,Yes,1,2,4,3,5,2,2,They should be charged the same amount,3,3,0
control,115,5d4359295a5b010001523b4e,1980,41,Female,College / university,3,$2000 to $4999,Independent,"Disney Plus,Hulu,Netflix",,2,0,Never,,0,Yes,No,1,1,2,8,5,1,1,They should be charged the same amount,8,8,0
control,172,60fef776764b4a937769f84e,2000,21,Female,High school,2,Less than $1999,Independent,"Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,1,1,11,4,3,4,User A,15,11,4
control,160,612ff063682b9c3af76d0b5f,2001,20,Male,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Sometimes,Most of the time,4,Yes,Yes,2,4,4,10,4,5,4,They should be charged the same amount,10,10,0
control,184,61531c83fe2060f8baac5441,1985,36,Male,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Netflix,Peacock,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,4,2,4,10,4,3,2,User A,10,3,7
control,259,611994820071da2beee434ea,1998,23,Female,Graduate school,4,$10000 to $19999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,No,3,4,3,10,4,3,3,They should be charged the same amount,10,10,0
control,310,610310ff111ca7fb658db2f9,1992,29,Male,High school,2,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Spotify",,2,1,Most of the time,Sometimes,3,Yes,No,4,2,5,6,5,2,5,They should be charged the same amount,6,6,0
control,206,61532109e21fff7c56edc8b6,1986,35,Female,College / university,3,$2000 to $4999,Prefer not to say,"Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock",,2,0,Sometimes,Most of the time,4,Yes,No,4,3,5,8,4,4,3,User A,8,5,3
control,700,5a02d158c259f300017652b8,1997,24,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Sometimes,Most of the time,4,Yes,No,1,1,5,10,5,1,1,They should be charged the same amount,10,10,0
control,113,610867e7247a26fab6311337,1998,23,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,2,4,7,3,4,4,They should be charged the same amount,7,7,0
control,132,60fcf110d2d4a115c136cb90,2000,21,Female,College / university,3,Less than $1999,Democrat,"Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,3,2,4,7,4,4,4,They should be charged the same amount,7,7,0
control,160,60cbb292d0957e67c65b7587,1988,33,Female,High school,2,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Apple Music",,2,0,Sometimes,Most of the time,4,Yes,Yes,4,4,5,15,5,2,4,They should be charged the same amount,15,15,0
control,199,5c2a250c0091e40001caa2b6,1985,36,Male,College / university,3,$10000 to $19999,Independent,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Never,,0,Yes,No,4,1,4,9,5,2,1,User A,10,8,2
