StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific_ID,1_Date_of_birth,2_Gender,3_Education,4_Income,5_Political,6_Platforms,6_Platforms_10_TEXT,7_Personalization,8_Satisfaction,9_T_understand_you,10T_understand_other,11_T_benefit_1,11_T_benefit_4,11_T_benefit_5,11_T_benefit_6,12_T_fee_9,T_13_preferences_1,T_13_preferences_4,T_13_preferences_5,14_T_Equal_fee,15_T_fee_2_1,15_T_fee_2_2,9_C_understand_you,10C_understand_other,11_C_benefit_1,11_C_benefit_4,11_C_benefit_5,11_C_benefit_21,12_C_fee_9,C_13_preferences_1,C_13_preferences_4,C_13_preferences_5,C_equal_fee,C_fee_2_1,C_fee_2_2
12/5/2021 5:57,12/5/2021 6:03,IP Address,71.195.236.168,100,412,TRUE,12/5/2021 6:04,R_u860sEqRshVGLJL,,,,,40.4598999,-111.7751999,anonymous,EN,615e18d015ed6ef3e80170ff,1984,Female,College / university,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Netflix",,Sometimes,Sometimes,Yes,Yes,4,3,5,5,10,4,1,3,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/5/2021 5:57,12/5/2021 6:00,IP Address,107.77.206.23,100,224,TRUE,12/5/2021 6:00,R_31YhqXo6By0hEQA,,,,,41.87640381,-87.61329651,anonymous,EN,5a25acc2b279aa0001b0dbe5,1988,Female,High school,$2000 to $4999,Independent,,,,,Yes,Yes,3,3,4,5,10,4,2,2,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/5/2021 5:56,12/5/2021 6:18,IP Address,73.28.128.139,100,1316,TRUE,12/5/2021 6:18,R_24BK934a9h8Jno5,,,,,27.24000549,-82.47550201,anonymous,EN,561c4dc1811d220005f31d9b,1988,Male,College / university,Less than $1999,Independent,Amazon Prime / Amazon Music,,Never,,Yes,Yes,3,3,3,5,5,3,3,1,They should be charged the same amount,5,5,,,,,,,,,,,,,
12/5/2021 5:56,12/5/2021 5:59,IP Address,172.58.203.122,100,177,TRUE,12/5/2021 5:59,R_CgKFFxLdyQBLPlT,,,,,39.95280457,-75.16459656,anonymous,EN,5f8239eda08cb4367e704ba2,1979,Male,College / university,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Disney Plus,Netflix",,Rarely,Never,Yes,Yes,2,4,5,5,5,5,2,1,They should be charged the same amount,5,5,,,,,,,,,,,,,
12/5/2021 5:55,12/5/2021 6:00,IP Address,108.211.234.249,100,285,TRUE,12/5/2021 6:00,R_1Q4URY5bPJgEdFg,,,,,38.22000122,-85.69419861,anonymous,EN,54afe839fdf99b6f2c1214ce,1977,Male,College / university,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Hulu",,Sometimes,Rarely,Yes,Yes,2,2,3,5,15,4,2,2,They should be charged the same amount,15,15,,,,,,,,,,,,,
12/5/2021 5:55,12/5/2021 5:58,IP Address,74.75.83.22,100,204,TRUE,12/5/2021 5:58,R_30qpbKejb290wo4,,,,,42.96299744,-72.29290009,anonymous,EN,611194a3dcdbd9593ccbfc44,2002,Non-binary / third gender,High school,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Spotify,Other",Crunchyroll,Sometimes,Sometimes,Yes,Yes,3,2,5,5,13,4,3,3,They should be charged the same amount,13,13,,,,,,,,,,,,,
12/5/2021 5:54,12/5/2021 5:57,IP Address,75.136.19.40,100,128,TRUE,12/5/2021 5:57,R_25QOJqZiaIb9fi5,,,,,34.75689697,-84.79350281,anonymous,EN,5e9d0efdf925dd23cf31c877,1993,Male,College / university,$5000 to $9999,Republican,"Hulu,Netflix,Pandora,Spotify",,Rarely,Sometimes,Yes,Yes,2,2,4,5,7,3,2,2,User A,7,4,,,,,,,,,,,,,
12/5/2021 5:53,12/5/2021 5:55,IP Address,96.231.110.250,100,154,TRUE,12/5/2021 5:55,R_1je1gB7ChhVW0kA,,,,,39.15849304,-77.08370209,anonymous,EN,60b76ee2219ac1ce25ccea43,2002,Male,High school,Less than $1999,Independent,"Apple Music,Netflix,Spotify",,Sometimes,Most of the time,Yes,Yes,4,4,3,5,5,4,2,4,They should be charged the same amount,5,5,,,,,,,,,,,,,
12/5/2021 5:52,12/5/2021 5:55,IP Address,184.155.95.3,100,168,TRUE,12/5/2021 5:55,R_pcndRLIp8WEvP3z,,,,,42.49499512,-96.38950348,anonymous,EN,5d3c660793eb2d00017880db,1996,Female,College / university,$2000 to $4999,Independent,Spotify,,Sometimes,Sometimes,Yes,Yes,4,4,4,5,9,4,1,4,User A,9,7,,,,,,,,,,,,,
12/5/2021 5:51,12/5/2021 5:55,IP Address,73.69.129.55,100,215,TRUE,12/5/2021 5:55,R_svyh0uiyuOB1F9n,,,,,41.71110535,-70.48870087,anonymous,EN,5bba20fd9672860001e260b6,1980,Male,Graduate school,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Apple Music,HBO Max,Netflix,Peacock",,Sometimes,Sometimes,Yes,Yes,3,4,4,5,10,4,2,3,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/5/2021 5:50,12/5/2021 5:53,IP Address,50.255.192.84,100,171,TRUE,12/5/2021 5:53,R_2e2KYcAMuEAezxr,,,,,41.74679565,-111.8267975,anonymous,EN,60fd03a4eadb0e9943448a17,2002,Female,High school,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,Most of the time,Sometimes,Yes,Yes,4,3,5,5,10,5,2,5,They should be charged the same amount,5,5,,,,,,,,,,,,,
12/5/2021 5:48,12/5/2021 5:51,IP Address,72.69.213.254,100,181,TRUE,12/5/2021 5:51,R_3MyYHPlU3vlw4QB,,,,,40.69940186,-73.88829803,anonymous,EN,5d8765008616d4001a232c58,1989,Female,Graduate school,$20000 or more,Republican,"Amazon Prime / Amazon Music,Apple Music,Netflix",,Never,,Yes,No,3,4,4,5,15,3,2,2,User A,15,10,,,,,,,,,,,,,
12/5/2021 5:47,12/5/2021 5:50,IP Address,73.115.76.56,100,211,TRUE,12/5/2021 5:50,R_3NUokgNCUjyV0WH,,,,,29.77540588,-95.59799957,anonymous,EN,61057dd06e49aef52b182f19,1991,Female,College / university,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Apple Music",,Sometimes,Most of the time,Yes,Yes,5,5,4,5,10,4,3,4,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/5/2021 5:46,12/5/2021 5:50,IP Address,107.77.227.128,100,246,TRUE,12/5/2021 5:50,R_2thAMExC5SWTmpD,,,,,34.06599426,-117.8927994,anonymous,EN,6111178ade6176e04e291349,1993,Female,High school,$20000 or more,Democrat,"Netflix,Spotify",,Sometimes,Sometimes,Yes,Yes,3,2,3,5,10,4,2,3,User A,12,9,,,,,,,,,,,,,
12/5/2021 5:43,12/5/2021 5:47,IP Address,24.152.193.230,100,205,TRUE,12/5/2021 5:47,R_0eJt8R3YPmZpqNz,,,,,40.17500305,-76.18170166,anonymous,EN,5ba06f03962418000113684d,1987,Female,College / university,Less than $1999,Prefer not to say,"Amazon Prime / Amazon Music,Netflix",,Rarely,Sometimes,Yes,Yes,3,3,5,5,1,5,2,3,They should be charged the same amount,3,3,,,,,,,,,,,,,
12/5/2021 5:42,12/5/2021 5:45,IP Address,173.19.103.5,100,210,TRUE,12/5/2021 5:45,R_1P60zdFNPNveIL9,,,,,37.21170044,-93.2990036,anonymous,EN,61500132067745b7066747d0,1988,Female,College / university,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Netflix,Peacock",,Sometimes,Most of the time,Yes,Yes,4,4,5,5,5,5,1,2,User A,3.99,0,,,,,,,,,,,,,
12/5/2021 5:41,12/5/2021 5:45,IP Address,173.22.91.215,100,257,TRUE,12/5/2021 5:45,R_2ebbZikppKyx79f,,,,,41.62440491,-93.66940308,anonymous,EN,615085e1473e6bb28212e205,1989,Female,College / university,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Paramount Plus,Spotify",,Sometimes,Rarely,Yes,Yes,3,3,5,5,9,4,2,3,They should be charged the same amount,9,9,,,,,,,,,,,,,
12/5/2021 5:40,12/5/2021 5:43,IP Address,174.206.34.29,100,184,TRUE,12/5/2021 5:43,R_3hamKhmcwKn2gSG,,,,,37.34410095,-79.8973999,anonymous,EN,61609a2c56013dfc9ab7899e,1988,Male,College / university,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock",,Most of the time,Sometimes,Yes,Yes,4,4,3,5,5,4,2,4,User A,5,4,,,,,,,,,,,,,
12/5/2021 5:39,12/5/2021 5:41,IP Address,73.189.58.8,100,142,TRUE,12/5/2021 5:41,R_1jT9rlfCU6cMuYi,,,,,37.72009277,-122.4413986,anonymous,EN,5e7f12f57ef97e5e3ba73087,1989,Female,College / university,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Paramount Plus,Peacock",,Most of the time,Sometimes,Yes,Yes,4,4,5,5,6,4,2,4,They should be charged the same amount,6,6,,,,,,,,,,,,,
12/5/2021 5:38,12/5/2021 5:41,IP Address,67.60.48.146,100,205,TRUE,12/5/2021 5:41,R_3PuWbhzJD25zQmK,,,,,42.49499512,-96.38950348,anonymous,EN,5e759f933115e010b2ab6288,1990,Male,Graduate school,$5000 to $9999,Democrat,"Apple Music,Netflix",,Never,,Yes,Yes,3,4,2,5,1,5,1,3,They should be charged the same amount,1,1,,,,,,,,,,,,,
12/5/2021 5:37,12/5/2021 5:41,IP Address,173.73.1.91,100,261,TRUE,12/5/2021 5:41,R_3GcQyHCTOpOPTvu,,,,,38.84759521,-77.32810211,anonymous,EN,612d2c0c30d73770f9e79777,2000,Male,High school,Less than $1999,Independent,"Amazon Prime / Amazon Music,Netflix,Other",Crunchyroll and Funimation,Sometimes,Most of the time,Yes,Yes,3,3,5,5,7,4,4,4,They should be charged the same amount,7,7,,,,,,,,,,,,,
12/5/2021 5:36,12/5/2021 5:38,IP Address,72.65.243.27,100,123,TRUE,12/5/2021 5:38,R_2YA35a4zopLe5qN,,,,,40.46879578,-80.08719635,anonymous,EN,5c282fa170d93a000121164b,2000,Male,High school,Less than $1999,Independent,"Amazon Prime / Amazon Music,YouTube Premium / YouTube Music",,Never,,Yes,Yes,4,3,5,5,10,5,2,1,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/5/2021 5:35,12/5/2021 5:38,IP Address,24.97.49.162,100,148,TRUE,12/5/2021 5:38,R_b8SDAAMQCI5kRgd,,,,,43.65969849,-70.28679657,anonymous,EN,5c6d7e682584880001b3c241,1983,Male,College / university,$10000 to $19999,Something else,"Amazon Prime / Amazon Music,Disney Plus,Netflix,YouTube Premium / YouTube Music",,Most of the time,Most of the time,Yes,Yes,4,4,5,5,10,4,2,4,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/5/2021 5:31,12/5/2021 5:35,IP Address,50.40.180.187,100,246,TRUE,12/5/2021 5:35,R_yHGlkEEPHEfcDJv,,,,,37.72410583,-88.93009949,anonymous,EN,6155e7d41d402ae716c4da22,1998,Female,College / university,$2000 to $4999,Something else,"Amazon Prime / Amazon Music,Apple Music,Hulu,Netflix",,Always,Most of the time,Yes,Yes,5,5,5,5,9,5,1,5,They should be charged the same amount,9.99,9.99,,,,,,,,,,,,,
12/5/2021 5:31,12/5/2021 5:34,IP Address,98.117.37.88,100,208,TRUE,12/5/2021 5:34,R_1Lofq7QtDyHa2Fa,,,,,39.43319702,-76.65460205,anonymous,EN,5c831db8d4f0a80015762b81,1993,Male,College / university,Prefer not to say,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,Sometimes,Sometimes,Yes,Yes,4,4,5,5,5,4,2,4,They should be charged the same amount,5,5,,,,,,,,,,,,,
12/5/2021 5:28,12/5/2021 5:32,IP Address,75.164.137.123,100,234,TRUE,12/5/2021 5:32,R_3Di7KYZqW3qxj7C,,,,,45.5644989,-122.6446991,anonymous,EN,5dc36b196c76b327ca120b23,1990,Non-binary / third gender,High school,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,Rarely,Most of the time,Yes,Yes,4,4,5,5,10,5,4,1,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/5/2021 5:25,12/5/2021 5:28,IP Address,71.187.26.144,100,170,TRUE,12/5/2021 5:28,R_2vexBH2XzKym6dX,,,,,40.88969421,-74.48470306,anonymous,EN,5df5888b61b48a3dd970d282,1982,Male,Graduate school,$20000 or more,Independent,"Amazon Prime / Amazon Music,Netflix",,Sometimes,Most of the time,Yes,Yes,4,4,5,5,5,5,3,5,User B,3,6,,,,,,,,,,,,,
12/3/2021 14:22,12/3/2021 14:26,IP Address,108.198.230.140,100,237,TRUE,12/3/2021 14:26,R_1hVZgfP9od3hEm5,,,,,32.82359314,-96.68139648,anonymous,EN,6134f6617fc60f0cfe9ed887,1999,Male,High school,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,Sometimes,Sometimes,Yes,Yes,3,3,5,5,10,5,2,4,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/3/2021 14:21,12/3/2021 14:25,IP Address,71.199.122.159,100,241,TRUE,12/3/2021 14:25,R_1LNFLKMJsbqZR5b,,,,,40.43240356,-79.92469788,anonymous,EN,6101ebf3db55216c04e3cd5a,1999,Female,College / university,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,Most of the time,Most of the time,Yes,Yes,4,3,4,5,5,5,1,2,They should be charged the same amount,5,5,,,,,,,,,,,,,
12/2/2021 13:07,12/2/2021 13:11,IP Address,184.96.172.7,100,262,TRUE,12/2/2021 13:11,R_1o1QbhHSrRmhAMw,,,,,39.67959595,-104.9626007,anonymous,EN,5d4c92d7c6a3d60001173022,1989,Female,College / university,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Paramount Plus",,Sometimes,Most of the time,Yes,Yes,4,4,5,5,5,4,1,2,User B,4,5,,,,,,,,,,,,,
12/2/2021 13:07,12/2/2021 13:11,IP Address,73.188.191.75,100,256,TRUE,12/2/2021 13:11,R_2q1VPrDrMZ2ypIP,,,,,40.03450012,-75.11930084,anonymous,EN,566a19b57da035000fb39b89,1987,Male,College / university,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,HBO Max,Netflix",,Never,,,,,,,,,,,,,,,Yes,Yes,2,3,5,5,5,5,1,1,They should be charged the same amount,5,5
12/2/2021 13:07,12/2/2021 13:14,IP Address,172.58.196.114,100,427,TRUE,12/2/2021 13:14,R_8cwKfYNBmrubU5P,,,,,42.35749817,-83.21620178,anonymous,EN,6176a5f31c3e3668b07681b5,1990,Male,High school,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock,Other",Starz showtime,Sometimes,Sometimes,,,,,,,,,,,,,,Yes,No,4,2,3,5,10,4,3,2,They should be charged the same amount,5,4
12/2/2021 13:06,12/2/2021 13:12,IP Address,68.91.158.156,100,395,TRUE,12/2/2021 13:12,R_3dQheFNa3akdUUJ,,,,,37.93870544,-122.3661041,anonymous,EN,611880d3d174718bfff2fd10,1999,Female,College / university,Less than $1999,Democrat,"Netflix,Spotify",,Most of the time,Most of the time,,,,,,,,,,,,,,Yes,No,4,2,4,5,8,4,2,5,They should be charged the same amount,8,8
12/2/2021 13:06,12/2/2021 13:13,IP Address,173.216.176.88,100,419,TRUE,12/2/2021 13:13,R_3NCj0xppQ8nELhg,,,,,36.97099304,-93.71600342,anonymous,EN,60de3caba8fbf2e04c048e1c,1992,Male,College / university,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Apple Music,Hulu,Netflix,Peacock",,Sometimes,Sometimes,Yes,Yes,3,3,4,5,8,4,2,3,They should be charged the same amount,8,8,,,,,,,,,,,,,
12/2/2021 12:55,12/2/2021 12:58,IP Address,74.71.66.62,100,215,TRUE,12/2/2021 12:58,R_3spG26OONzJxsHo,,,,,40.78100586,-73.95010376,anonymous,EN,610192790a0b93d937a58119,1997,Male,High school,Less than $1999,Independent,"Netflix,Spotify",,Sometimes,Sometimes,,,,,,,,,,,,,,Yes,No,4,3,5,5,15,5,2,4,They should be charged the same amount,10,10
12/2/2021 12:39,12/2/2021 12:41,IP Address,138.9.148.69,100,123,TRUE,12/2/2021 12:41,R_1Ojl6RdlHTQh8zX,,,,,37.98219299,-121.3125992,anonymous,EN,6110cb9fd3ba23cecacc8fc4,2002,Male,High school,Less than $1999,Independent,"HBO Max,Hulu,Netflix,Spotify",,Sometimes,Sometimes,,,,,,,,,,,,,,Yes,No,4,2,4,5,5,3,3,4,User A,9.99,4.99
12/2/2021 12:36,12/2/2021 12:39,IP Address,172.56.6.211,100,210,TRUE,12/2/2021 12:39,R_3mf51ZoLm8rd4Ul,,,,,35.46620178,-97.51679993,anonymous,EN,60a2cf0845851125015f4c1e,1993,Male,Graduate school,Less than $1999,Independent,"Hulu,Netflix,YouTube Premium / YouTube Music",,Rarely,Sometimes,,,,,,,,,,,,,,Yes,No,4,2,5,5,10,5,2,2,They should be charged the same amount,10,10
12/2/2021 12:36,12/2/2021 12:39,IP Address,73.240.78.255,100,183,TRUE,12/2/2021 12:39,R_1Kv8xu0pAMUsG6A,,,,,45.37159729,-122.7655945,anonymous,EN,581d50e882c5aa000132ce4f,1986,Male,High school,Less than $1999,Democrat,Netflix,,Rarely,Rarely,Yes,Yes,4,5,5,5,10,1,5,5,User B,7,10,,,,,,,,,,,,,
12/2/2021 12:36,12/2/2021 12:39,IP Address,148.100.219.76,100,210,TRUE,12/2/2021 12:39,R_214VZ2u71Fkpkxr,,,,,41.563797,-73.79530334,anonymous,EN,5ed1f281a0e7a4000ae547ce,2001,Male,High school,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Netflix,Spotify",,Sometimes,Sometimes,,,,,,,,,,,,,,Yes,No,4,3,4,5,10,4,3,4,They should be charged the same amount,10,10
12/2/2021 12:36,12/2/2021 12:40,IP Address,174.54.236.78,100,219,TRUE,12/2/2021 12:40,R_qUAqfG8ZMeKEEuJ,,,,,41.48330688,-75.71710205,anonymous,EN,614de4764e02205724b90a42,1994,Male,High school,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,Sometimes,Most of the time,Yes,Yes,4,4,5,5,10,5,1,1,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/2/2021 12:36,12/2/2021 12:40,IP Address,35.141.117.235,100,270,TRUE,12/2/2021 12:40,R_3nf5tXi0d3Rj8kz,,,,,28.45379639,-81.4673996,anonymous,EN,5f3449937104763434c56067,1991,Male,College / university,$5000 to $9999,Independent,"Disney Plus,Hulu,Netflix,Spotify",,Sometimes,Most of the time,Yes,Yes,4,4,5,5,10,4,2,4,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/2/2021 12:36,12/2/2021 12:41,IP Address,23.243.103.37,100,302,TRUE,12/2/2021 12:41,R_2zp5UIJko4QcXt6,,,,,33.81599426,-117.9692001,anonymous,EN,5f9680c928b51354f0244d31,1994,Male,College / university,Prefer not to say,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix",,Rarely,Rarely,,,,,,,,,,,,,,Yes,No,3,1,4,5,6,4,3,3,They should be charged the same amount,6,6
12/2/2021 12:35,12/2/2021 12:37,IP Address,128.163.237.157,100,122,TRUE,12/2/2021 12:37,R_1guuxvFisSAMHZw,,,,,38.03019714,-84.46170044,anonymous,EN,5f231fd28626c50a0512ad14,2002,Male,High school,Less than $1999,Republican,"Amazon Prime / Amazon Music,Spotify",,Rarely,Sometimes,,,,,,,,,,,,,,Yes,No,4,2,5,5,5,5,3,4,User A,5,4
12/2/2021 12:35,12/2/2021 12:37,IP Address,73.222.244.74,100,116,TRUE,12/2/2021 12:37,R_CevbRpNqq0r30qd,,,,,37.34790039,-122.0350952,anonymous,EN,5fecf6e660d5fba3b127a9c4,1997,Male,High school,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Spotify",,Sometimes,Sometimes,Yes,Yes,4,4,5,5,10,5,2,4,They should be charged the same amount,10,10,,,,,,,,,,,,,
12/2/2021 12:35,12/2/2021 12:37,IP Address,131.193.96.250,100,151,TRUE,12/2/2021 12:37,R_bJCpFfWnz7AUK7D,,,,,41.87190247,-87.6588974,anonymous,EN,60ff8095fe0067960a67ab9b,2002,Male,High school,Less than $1999,Democrat,Netflix,,Sometimes,Sometimes,,,,,,,,,,,,,,Yes,Yes,4,3,5,5,6,4,2,4,They should be charged the same amount,6,6
12/2/2021 12:35,12/2/2021 12:38,IP Address,99.93.136.94,100,150,TRUE,12/2/2021 12:38,R_7R4VVw8piKtNDGx,,,,,38.95230103,-94.73950195,anonymous,EN,61096bb79c3b380e9868a4f5,1995,Male,College / university,Less than $1999,Independent,"Disney Plus,Spotify",,Never,,Yes,Yes,3,4,5,5,11,4,4,1,User A,11,7,,,,,,,,,,,,,
12/2/2021 12:35,12/2/2021 12:38,IP Address,68.109.165.91,100,166,TRUE,12/2/2021 12:38,R_2YzZLhXJqLDEPgG,,,,,33.43930054,-111.7698975,anonymous,EN,5ea9cc7058ebeb11a12e659c,1996,Male,Graduate school,Less than $1999,Independent,"Netflix,Spotify",,Never,,Yes,Yes,3,3,4,5,10,4,2,3,User A,10,7,,,,,,,,,,,,,
12/2/2021 12:35,12/2/2021 12:38,IP Address,104.15.55.104,100,187,TRUE,12/2/2021 12:38,R_301arkqPfseTRra,,,,,36.37249756,-96.01170349,anonymous,EN,5fbb2540b981f7c1e0fca5ff,1980,Male,High school,$5000 to $9999,Independent,"Disney Plus,HBO Max",,Rarely,Rarely,,,,,,,,,,,,,,Yes,No,2,2,5,5,10,5,2,4,They should be charged the same amount,10,10
